Annotation/Divergence,DD6_old_rep1,DD7_old_rep2,DD8_old_rep3,DD9_old_rep4,DD10_old_rep5,DD11_old_rep6,DD18_old121_rep1,DD19_old121_rep2,DD20_old121_rep3,DD21_old121_rep4,DD22_old121_rep5,DD23_old121_rep6
Trp63,0.24600000000000002,0.195,0.319,0.316,0.33399999999999996,0.364,0.44299999999999995,0.47600000000000003,0.355,0.315,0.37799999999999995,0.344
Nrtn,0.9590000000000001,1.002,1.148,1.3130000000000002,0.904,0.89,0.37799999999999995,0.871,0.574,0.7090000000000001,0.8240000000000001,0.7040000000000001
Nhlrc2,2.208,2.502,2.385,1.173,1.954,1.848,2.9730000000000003,2.963,2.5380000000000003,2.254,2.6189999999999998,2.71
Calcrl,1.4769999999999999,1.735,1.692,1.107,1.79,1.35,2.957,2.094,2.7760000000000002,2.185,2.177,2.531
Abhd14a,9.387,8.311,8.791,11.424000000000001,8.065,9.134,6.365,7.466,7.189,8.461,7.297000000000001,7.106
Trmt5,4.747,5.278,4.766,5.636,5.206,5.412999999999999,4.484,3.8089999999999997,4.273,4.908,4.188,4.282
Zbtb44,4.448,3.9419999999999997,4.541,3.747,4.708,4.105,5.004,5.114,5.122000000000001,4.814,5.542999999999999,5.138999999999999
Best3,0.085,0.048,0.55,0.252,0.866,0.503,0.932,0.565,0.8009999999999999,0.628,0.9059999999999999,0.846
Smtn,1.581,1.919,1.646,1.821,2.251,1.714,2.349,1.8330000000000002,3.605,2.878,2.645,2.864
Lyst,3.755,2.892,4.405,2.623,3.9160000000000004,4.039,6.199,5.085,5.247000000000001,3.7119999999999997,5.394,4.899
D130040H23Rik,0.5760000000000001,0.521,0.358,0.285,0.366,0.293,1.265,0.907,0.6609999999999999,0.39799999999999996,0.5720000000000001,0.5870000000000001
Gm32856,0.631,0.49,0.7490000000000001,0.5710000000000001,0.5720000000000001,0.745,0.833,0.764,0.953,0.79,0.9,0.747
Rps20,7.059,7.14,6.372000000000001,9.703,6.455,6.502000000000001,5.343,6.268,6.007999999999999,6.093,5.523,6.05
Myom1,0.46399999999999997,0.517,0.46299999999999997,0.5379999999999999,0.45399999999999996,0.58,0.669,0.461,1.087,0.848,0.67,0.9229999999999999
Rapgef5,20.404,12.808,19.207,11.232999999999999,18.862000000000002,20.522,24.371,24.135,23.148000000000003,20.113,24.726999999999997,25.375
Edf1,50.913000000000004,45.542,52.185,72.973,55.743,58.615,36.482,40.558,37.641,48.858999999999995,44.81399999999999,49.846000000000004
Cryab,72.714,101.54899999999999,67.807,86.75399999999999,84.64399999999999,67.919,60.623999999999995,63.06,66.752,65.40100000000001,60.145,58.13
Lrch2,4.456,4.774,4.476,3.27,4.265,4.507,5.4270000000000005,4.704,5.172000000000001,5.266,4.954,5.303999999999999
Asxl3,0.977,0.99,0.9690000000000001,0.841,0.7809999999999999,0.9620000000000001,1.3530000000000002,1.274,1.1540000000000001,0.883,1.016,0.993
Lox,0.051,0.131,0.16,0.102,0.233,0.033,0.263,0.125,0.381,0.304,0.294,0.40399999999999997
Chmp2a,46.427,57.128,52.821999999999996,70.665,49.739,50.372,41.766999999999996,44.203,46.364,52.085,43.208,46.778999999999996
Ppp6c,18.742,17.785999999999998,20.072,16.160999999999998,18.944000000000003,20.248,23.006999999999998,20.612,21.55,24.94,22.025,22.656
Snx25,16.340999999999998,17.444000000000003,12.589,15.035,13.308,15.448,12.009,11.072000000000001,11.835,14.017000000000001,13.219000000000001,12.909
Dgkh,0.858,0.953,1.064,0.575,0.528,0.544,2.525,1.725,1.122,0.725,1.5819999999999999,0.9359999999999999
Akap10,5.871,5.2829999999999995,5.444,3.675,5.25,4.784,7.153,6.916,6.353,5.442,7.577999999999999,6.853
Paqr9,11.613,7.028,11.462,9.445,11.977,10.687999999999999,12.901,14.745999999999999,10.511,10.532,15.093,13.509
Rbpjl,0.69,0.506,0.439,0.488,0.534,0.498,0.344,0.39899999999999997,0.488,0.348,0.42100000000000004,0.39899999999999997
