genename,pvalue,FoldChange,log(pvalue),log2FC,sig,size
Impdh2,0.0028146333711985628,1.1326964493653173,2.5505781675036068,0.17976128598587332,up,0.11326964493653173
Wdr7,0.3317431598392113,1.1635698078281023,0.4791980230218125,0.21855776715605998,normal,0.11635698078281023
Srrm2,0.36758396417555583,1.1039150376741327,0.4346434429387407,0.14262914001189309,normal,0.11039150376741327
Psma6,0.15745871249389914,1.1530782916037212,0.8028333040122583,0.20549047229044792,normal,0.11530782916037212
Synpr,0.04824645538792662,1.1233703128086607,1.3165345882686188,0.1678335825799494,up,0.11233703128086607
Ppia,0.18651241228496185,1.1160291444553452,0.7292922608660568,0.15837470280525492,normal,0.11160291444553452
E330021D16Rik,0.36859533757101415,1.1705249605109491,0.4334501625515278,0.22715569909872113,normal,0.11705249605109491
Gja1,0.037301687726146844,1.123764743213339,1.4282715179615386,0.16834004327809415,up,0.11237647432133391
Ak5,0.013016453374587381,1.1263491368252574,1.8855073329467025,0.17165409197601195,up,0.11263491368252573
Lancl2,0.15400290378780418,1.152015290584296,0.8124710902860653,0.2041598656549976,normal,0.11520152905842959
Grhpr,0.344389545759084,1.1743915666523927,0.4629500404008821,0.2319135132865632,normal,0.11743915666523927
Tpt1,0.26455709720606346,1.1635377136476814,0.5774805832678678,0.21851797345120522,normal,0.11635377136476814
Pklr,0.2443259607370092,1.160520515601071,0.6120303848242744,0.21477202677055635,normal,0.11605205156010709
Ube2v1,0.037073008916818924,1.1230609908195779,1.4309421643632037,0.16743627926443086,up,0.1123060990819578
Cntnap2,0.37984980436031923,1.180379403989344,0.4203880929407695,0.2392506530414308,normal,0.11803794039893441
Epn2,0.39098319691896444,1.1136769296421725,0.40784190665063086,0.15533077702114662,normal,0.11136769296421725
Lin7c,0.08726343995626591,1.1323592801670121,1.059167670966689,0.17933177572916217,normal,0.11323592801670121
Mcur1,0.29441219034344657,1.1665859069712108,0.5310442116943049,0.22229255078364038,normal,0.11665859069712108
Lztfl1,0.3236718486387006,1.1702517288653698,0.48989507172048025,0.22681889640953629,normal,0.11702517288653698
Rpsa,0.18273784323845818,1.1524135984090884,0.7381715051502198,0.20465858942299273,normal,0.11524135984090884
Hook3,0.011296429185132772,1.132092588228314,1.9470588158324604,0.17899195385477934,up,0.1132092588228314
Hnrnpul2,0.23670075199504148,1.1077588570670274,0.6258003623211151,0.14764386191353904,normal,0.11077588570670274
Mnd1,0.061084047113536155,1.120046648812486,1.2140721965525998,0.16355882032656582,normal,0.1120046648812486
Gng12,0.4083146214249187,1.1842012140926068,0.38900506805529317,0.24391423798522074,normal,0.11842012140926068
Pmch,0.01945048498643372,1.1314746990279916,1.711069565325111,0.17820432477718698,up,0.11314746990279916
Arl8b,0.11013482021508135,1.1159463892285062,0.95807535281303,0.15826772084813115,normal,0.11159463892285063
Bag6,0.3666959744476278,1.1737106035021951,0.4356938576553722,0.2310767335247224,normal,0.11737106035021952
