Annotation/Divergence,pvalue,FoldChange,log(pvalue),log2FC,sig,size
Ggta1,0.4161630023914398,1.1124154397134896,0.3807365319366222,-0.15369567374860615,normal,0.11124154397134896
Tcf20,0.09732255373951473,1.0999057132663983,1.0117865037236657,-0.13737985753801338,normal,0.10999057132663984
Synj1,0.02190263591594974,1.2074099368277276,1.6595036159879848,-0.27191557950585726,down,0.12074099368277276
Txlng,0.24370898436968735,1.0766179251810508,0.6131284601864028,-0.10650635086244335,normal,0.10766179251810508
Mras,0.0005426092216919509,0.8669617015089488,3.2655128296383817,0.20595983184799288,normal,0.08669617015089488
Mir770,0.19680336269730284,0.7755345836817585,0.7059674852318814,0.3667369775928711,normal,0.07755345836817586
Ssc4d,0.21681366503034208,0.7509505703422054,0.6639133491620256,0.413210146227837,normal,0.07509505703422054
9130401M01Rik,0.00195077817406405,0.8030581395348835,2.7097921120801494,0.3164236556101389,up,0.08030581395348835
Rhot1,0.14482536447000635,1.0528667081735863,0.8391553698745575,-0.07432280423741928,normal,0.10528667081735862
Fut9,0.18489196425354126,1.1184526532479415,0.7330819636714502,-0.1615041849887407,normal,0.11184526532479415
Psmd2,0.8729959808912063,1.007658174984339,0.05898775569968706,-0.011006320494279138,normal,0.1007658174984339
Gtpbp2,0.03523456623751694,0.9029387260471101,1.4530310706066845,0.14730000599333004,normal,0.09029387260471101
Frmd4b,0.7172051324042441,1.0184808144087705,0.14435661123636523,-0.02641880385017074,normal,0.10184808144087705
Mctp1,0.7748708285366273,1.0399216648471,0.11077068862830447,-0.056474857219199065,normal,0.10399216648470999
9530077C05Rik,0.41973772798727815,1.0835010758658987,0.3770219926177131,-0.11570058596100609,normal,0.10835010758658987
Anxa5,0.31947141850693467,0.9321143928738868,0.49556798989982465,0.10142107573245171,normal,0.09321143928738868
Slc5a11,0.832131757325353,1.0429149797570851,0.07980790333791712,-0.06062155164257714,normal,0.10429149797570851
Pdzd2,0.45715760236360614,0.8120381050023495,0.3399340536777526,0.30038066722066253,normal,0.08120381050023495
Acap2,0.0015903809041195023,1.1807721385429562,2.79849884753763,-0.23973058513210843,normal,0.11807721385429562
Rmnd5b,0.04448820538062464,0.9235902627987849,1.3517551129980037,0.11467513169949657,normal,0.09235902627987849
Tsen15,0.006982483642081699,0.6775979332524912,2.1559900730507993,0.5614986205875709,up,0.06775979332524912
Pck2,0.9043585272245703,1.0105283399836547,0.04365936208353584,-0.015109782262482049,normal,0.10105283399836547
Gm11992,0.3995220849971153,1.1141314131413143,0.3984592085220147,-0.15591941033118667,normal,0.11141314131413142
Jun,0.3202816765633385,1.1546822950640088,0.4944679067781411,-0.20749595606873322,normal,0.11546822950640087
Lrguk,0.7151978501765968,1.0600619195046441,0.14557379966214481,-0.08414853681985991,normal,0.10600619195046442
Specc1,0.9997828347312554,0.9999866224315069,9.432392018729451e-05,1.9299880817126857e-05,normal,0.0999986622431507
1810043G02Rik,0.15647383125650335,0.9059480656854272,0.805558283620309,0.14249974607901816,normal,0.09059480656854271
