"gene_name","module"
"704","Q9D1A2","green"
"705","G3UZ48","turquoise"
"706","Q99LD4","tan"
"707","A2RT62","purple"
"708","P97807","blue"
"709","O55022","turquoise"
"710","Q9DAK9","blue"
"711","Q9ER72","blue"
"712","Q8BG39","brown"
"713","A1BN54","turquoise"
"714","Q8CJH3","black"
"715","A2A6U3","greenyellow"
"716","P16014","black"
"717","Q9CXZ1","blue"
"718","P05063","cyan"
"719","Q8BH44","yellow"
"720","F6ST32","green"
"721","D6RIJ2","greenyellow"
"722","Q6PDM2","purple"
"723","A2AEV7","cyan"
"724","Q5EBP8","black"
"725","G3X9P1","greenyellow"
"726","E0CXN5","black"
"727","O88384","pink"
"728","F6VTS9","lightcyan"
"729","Q6NZL0","grey60"
"730","A0A0G2JGY8","red"
"731","P50153","turquoise"
"732","D6RFB9","blue"
"733","P48320","red"
"734","Q9R0P9","blue"
"735","Q8VE33","salmon"
"736","F8WHL1","tan"
"737","Q3U4W8","green"
"738","A0A1Y7VM80","midnightblue"
"739","Q4VA93","tan"
"740","P60122","turquoise"
"741","Q3TC33","turquoise"
"742","P28663","blue"
"743","F6QC68","brown"
"744","A0A494BB86","blue"
"745","Q80UW2","purple"
"746","E9Q6U4","blue"
"747","O55126","cyan"
"748","Q3TT92","magenta"
"749","A2AAW9","brown"
"750","Q91V89","turquoise"
"751","A0A0R4J263","brown"
"752","Q8VDD5","purple"
"753","O35465","purple"
"754","Q99M28","salmon"
"755","Q9WU78","turquoise"
"756","P54071","pink"
"757","E9QLJ0","magenta"
"758","J3QP71","brown"
"759","P36916","cyan"
"760","O08539","greenyellow"
"761","Q8CDN6","yellow"
"762","P47753","turquoise"
"763","P24472","yellow"
"764","P80316","blue"
"765","Q91WM2","grey60"
"766","Q00493","green"
"767","P05202","cyan"
"768","E0CZH6","blue"
"769","Q9D8B3","magenta"
"770","Q9DCZ4","pink"
"771","Q6GYP7","pink"
"772","P00493","magenta"
"773","P68510","blue"
"774","A0A1D5RMG4","blue"
"775","A0A3Q4EBU5","turquoise"
"776","Q4KMM3","grey60"
