FQ,lab1,lab2,non1,non2
Q920P5,30294,29589.69761,26743.5608,26422.63399
F6RJV6,71977,79060.37152,62874.21048,68232.87877
D6REG4,14904,18284.89119,13048.62687,15211.8717
P63028,43630,50651.0123,38003.1159,43026.49852
P53657,18269,20949.81174,15914.00838,17880.14796
Q9CZY3,54586,54286.00853,49643.15823,47299.04653
A0A140LJB1,14581,18182.94564,12547.8692,15209.26171
Q5NCM6,9999.4,8360.172745,7972.901261,8512.645181
O88952,12913,13767.90662,12027.82656,11534.40063
Q9CXD6,18723,21631.57265,15856.67469,18735.35356
F6VG18,2644.1,3133.551525,2256.732262,2680.369203
P14206,15044,16709.51378,13142.44564,14411.47582
Q8BUK6,13595,13679.34142,11880.71352,12211.25714
Q00PI9,2690.8,2437.454526,2393.681602,2235.714492
Q8K396,9213.6,8716.185741,8016.813656,7991.256865
A0A0N4SVT3,36424,44472.15587,29623.27574,38689.57085
P56942,6763.6,6989.323598,6070.204541,6084.661679
A0A0N4SVB8,45281,44870.3807,42077.71708,38706.97076
G3UYQ2,5051.8,6085.193949,4254.29018,5234.415056
Q91ZP9,27787,25258.60438,24805.94265,23161.02078
E9PXA7,23515,20436.89816,15358.91401,22832.16247
Q9CZU6,99486,105449.9344,89130.43491,91340.82983
Q6PGF7,9611,9139.100508,7947.1011,8669.505374
Q9JKK7,71346,66049.56994,62690.48206,60870.10667
P08752,31011,33172.12816,25242.46053,30359.36373
P62962,91036,94737.68654,77796.60661,85148.2017
D3YZP9,19247,18796.21187,16678.89194,17143.26176
Q921W0,35766,38229.58347,32680.2039,32648.32194
E9Q3H7,31002,20494.24254,26880.37984,22038.72656
P27659,65816,67401.94146,60404.95265,58240.11021
E9Q4T8,19196,18627.36455,16483.43618,17154.5717
Q3TZZ7,9642.1,11000.24406,8204.060279,9611.710524
P47911,72272,72333.55772,65945.47206,63296.52418
P61222,6996,7225.231986,6259.536025,6343.659346
B1ARW4,19771,18955.5018,17399.4722,17285.07103
A2APX3,90418,93592.39193,75845.95808,85551.87962
P46664,47084,48268.03493,42127.23254,42534.95105
A0A2I3BQF4,28262,30233.22893,25887.46455,25862.35687
O35737,15643,16110.58363,14419.4233,13901.65844
Q61411,53579,50475.79337,48329.69549,45673.0249
Q8VHL1,38954,38321.97163,35303.22027,34053.36471
A0A2I3BQL9,63467,59994.95966,54929.58515,55902.43224
P62077,25098,24157.91095,22701.53558,21713.34823
P57780,50178,54975.73393,45310.55544,47306.00649
Q7TMM9,741130,715896.7375,644339.4748,660413.6005
Q7TME2,16112,17036.05813,14736.06164,14720.32423
Q8VCR4,9716.2,10984.31507,8508.319753,9539.500896
B2RUJ2,6555.9,6591.25806,5505.728292,6124.855472
P61226,45411,43366.68375,39416.9126,40362.57223
D3YWG9,14692,14725.55768,12472.81419,13646.74975
Q9D1E6,40621,43656.59142,37511.87041,37411.54742
P52480,32976,33205.57904,29658.45778,29659.01733
Q9D4I9,28233,37038.09479,25303.70333,30435.92333
E9Q1U8,27958,26595.0469,23942.02817,25065.44098
P68369,30123,32636.91399,24080.15024,30462.89319
Q62433,13972,16116.95523,11423.60764,14525.44523
O08583,23061,25953.10848,21752.9236,21683.76838
Q6ZQ06,17356,19812.48163,15980.46334,16747.41379
Q9JHG6,17876,18143.12316,16114.6763,16181.9167
O54984,5793.7,5367.433519,5301.672473,4895.899798
Q8BVT9,12011,11481.93682,10835.02518,10460.82615
P68372,162550,175840.155,139399.0516,158226.0855
