uniprot,gene
Q80TR1-2,AGRL1
D3Z5M6,D3Z5M6
A0A0A6YXZ1,A0A0A6YXZ1
Q80TZ3,AUXI
Q80U23,SNPH
A2AGQ4,A2AGQ4
Q80U35,ARHGH
Q80U40-2,RIMB2
B9EIX2,B9EIX2
Q80U63,MFN2
Q80UG2,PLXA4
Q80UG5-3,SEPT9
Q80UM7,MOGS
Q80UP8,S20A2
Q80UU9,PGRC2
Q80UW2,FBX2
Q80VC9-9,CAMP3
A0A0G2JFB2,A0A0G2JFB2
Q80VP0-2,TCPR1
Q80VP1,EPN1
Q80W04,TMCC2
Q80WG5,LRC8A
Q80WJ7,LYRIC
Q80WM4,HPLN4
Q80WW9,DDRGK
Q80X50,UBP2L
Q80X80,C2C2L
Q80X85,RT07
Q80XI4,PI42B
Q80XN0,BDH
Q8BMS7,Q8BMS7
Q80Y24,PRIC2
Q80YA9,CNKR2
F7BNZ5,F7BNZ5
Q80YT7,MYOME
D3Z4T6,D3Z4T6
Q8BJ13,Q8BJ13
Q810B7,SLIK5
Q810U3,NFASC
Q811P8-2,RHG32
E9QN14,E9QN14
Q8BFR5,EFTU
Q8BFT9,SVOP
Q8BFZ9,ERLN2
Q8BG05-2,ROA3
Q8BG32,PSD11
Q8BG39,SV2B
Q8BG51,MIRO1
Q8BG67,EFR3A
Q8BGA9,OXA1L
Q8BGB5,LIMD2
Q8BGD9,IF4B
Q8BGH2,SAM50
Q8BGN8-2,SYNPR
Q8BGQ7,SYAC
F6U6Z2,F6U6Z2
Q8BGX2,TIM29
Q8BGY7,F210A
Q8BGZ1,HPCL4
Q8BH44,COR2B
Q8BH59,CMC1
Q8BH66,ATLA1
Q8BH95,ECHM
Q8BHC1,RB39B
Q8BHE3,ATCAY
Q8BHJ7,GBRA5
Q8BHL3,TB10B
Q8BHL5-2,ELMO2
Q8BI08,MAL2
J3KMG3,J3KMG3
Q8BIG7,CMTD1
Q8BIJ6,SYIM
Q8BJ42,DLGP2
Q8BJF9,CHM2B
Q8BJH1-2,ZC21A
A0A0R4J252,A0A0R4J252
Q8BJU0,SGTA
Q8BJY1,PSMD5
Q8BK03,MIGA2
Q8BK08,TMM11
Q8BK30,NDUV3
Q8BKX1-3,BAIP2
Q8BKZ9,ODPX
Q8BL65-2,ABLM2
Q8BL86,MBLC2
Q3TYE5,Q3TYE5
Q8BLQ9-3,CADM2
Q8BLR2,CPNE4
A0A286YD31,A0A286YD31
Q8BM13,NOE2
Q8BMF3,MAON
Q8BMF4,ODP2
Q8BMK4,CKAP4
Q8BMS1,ECHA
Q8BNW9,KBTBB
Q8BP92,RCN2
Q8BPE4,TM177
Q8BPM0,DAAM1
Q8BPN8-2,DMXL2
Q8BQP9,R7BP
Q8BR92,PALM2
E9Q812,E9Q812
E9Q8N5,E9Q8N5
Q8BRV5,K1671
D3YY63,D3YY63
Q8BSS9,LIPA2
A2AL85,A2AL85
Q8BTI8-3,SRRM2
Q8BTX9,HSDL1
J9RV59,J9RV59
A0A1W2P8D6,A0A1W2P8D6
Q8BUM6,F163B
Q8BUV3,GEPH
A0A0A6YX18,A0A0A6YX18
D3YWR7,D3YWR7
