uniprot,gene
Q96KP4,CNDP2
H0Y6A7,H0Y6A7
A0A075B6E9,A0A075B6E9
A0A2R8Y6T2,A0A2R8Y6T2
Q96Q04,LMTK3
Q96QK1,VPS35
Q96QR8,PURB
Q96SB3,NEB2
Q99250,SCN2A
A0A0D9SFG6,A0A0D9SFG6
Q99490,AGAP2
Q99497,PARK7
Q99569,PKP4
U3KQ07,U3KQ07
J3KPX7,J3KPX7
Q99653,CHP1
Q99747,SNAG
Q99784,NOE1
Q99798,ACON
F5H442,F5H442
Q99832,TCPH
Q99962,SH3G2
Q9BPU6,DPYL5
Q9BQI5,SGIP1
Q9BT78,CSN4
Q9BV35,SCMC3
Q9BVK6,TMED9
A0A0A0MS41,A0A0A0MS41
F6U236,F6U236
A0A087X1W8,A0A087X1W8
A0A0U1RR93,A0A0U1RR93
Q9C040,TRIM2
Q9C0B5,ZDHC5
Q9C0D0,PHAR1
Q9C0H5,RHG39
Q9C0H9,SRCN1
J3KRK9,J3KRK9
K7EPN1,K7EPN1
Q9GZT4,SRR
Q9GZY8,MFF
E9PLD2,E9PLD2
Q9H0Q3,FXYD6
Q9H0U4,RAB1B
Q9H115,SNAB
C9JY79,C9JY79
Q9H2X9,S12A5
Q9H3H9,TCAL2
Q9H3Z4,DNJC5
Q9H425,CA198
Q9H444,CHM4B
A0A0C4DH22,A0A0C4DH22
Q9H598,VIAAT
Q9H845,ACAD9
Q9H936,GHC1
Q9H9B4,SFXN1
Q9HAV0,GBB4
Q5VT82,Q5VT82
A0A087WWM5,A0A087WWM5
Q9HCM2,PLXA4
Q9HD20,AT131
F8VUA2,F8VUA2
Q9NP72,RAB18
Q9NP97,DLRB1
Q9NQ66,PLCB1
Q9NQ79,CRAC1
Q9NQX3,GEPH
C9JG41,C9JG41
Q9NR46,SHLB2
Q9NRW1,RAB6B
Q9NS69,TOM22
Q9NSB8,HOME2
F8VNQ3,F8VNQ3
E9PGZ4,E9PGZ4
C9JTK6,C9JTK6
Q9NUQ9,FA49B
Q9NUT2,ABCB8
Q9NV70,EXOC1
Q9NV96,CC50A
D6RGI3,D6RGI3
Q9NVH1,DJC11
Q9NVJ2,ARL8B
Q9NVT9,ARMC1
D6RG39,D6RG39
Q9NX47,MARH5
Q9NX63,MIC19
C9JE82,C9JE82
Q9NZ94,NLGN3
Q9NZJ7,MTCH1
Q9NZR1,TMOD2
Q9NZV8,KCND2
B8ZZG1,B8ZZG1
Q9P0I2,EMC3
K7EP87,K7EP87
Q9P0K1,ADA22
Q9P0K9,FRS1L
Q9P0L0,VAPA
Q9P121,NTRI
Q9P1A6,DLGP2
Q9P1U1,ARP3B
Q9P2E7,PCD10
A0A2R8YDQ9,A0A2R8YDQ9
Q9P2U7,VGLU1
Q9UBB6,NCDN
Q9UDT6,CLIP2
H7C417,H7C417
Q9UEY8,ADDG
B1AHR1,B1AHR1
Q9UHC6,CNTP2
K7EL40,K7EL40
Q9UHG2,PCSK1
Q9UHW9,S12A6
Q9UI09,NDUAC
G3V126,G3V126
Q9UI15,TAGL3
Q9UI40,NCKX2
Q9UIW2,PLXA1
Q9UJS0,CMC2
B4DDD6,B4DDD6
Q9UJZ1,STML2
Q9UK17,KCND3
Q9UKA9,PTBP2
Q9UKE5,TNIK
Q9UKG1,DP13A
A0A494BZW8,A0A494BZW8
Q9UL25,RAB21
Q9UL26,RB22A
Q9ULB1,NRX1A
Q9ULC3,RAB23
Q9ULD0,OGDHL
Q9ULU8,CAPS1
Q9ULV4,COR1C
B4DGW9,B4DGW9
A0A0D9SGC1,A0A0D9SGC1
Q9UMF0,ICAM5
Q9UN86,G3BP2
Q9UNS2,CSN3
Q9UNZ2,NSF1C
Q9UPA5,BSN
Q9UPN3,MACF1
F5H6L7,F5H6L7
Q9UPV7,PHF24
E7EUA2,E7EUA2
Q9UPY8,MARE3
Q9UQ03,COR2B
Q9UQ16,DYN3
Q9UQB3,CTND2
Q9UQB8,BAIP2
Q9UQM7,KCC2A
A0A087WW88,A0A087WW88
Q9Y265,RUVB1
Q9Y277,VDAC3
Q9Y2A7,NCKP1
Q9Y2G0,EFR3B
Q9Y2H0,DLGP4
Q9Y2H5,PKHA6
Q9Y2J2,E41L3
Q9Y2Q0,AT8A1
Q5SZR4,Q5SZR4
J3QRU8,J3QRU8
Q9Y3D6,FIS1
H3BPM9,H3BPM9
Q9Y496,KIF3A
