uniprot,gene
A0A0C4DFT3,A0A0C4DFT3
E9PMY3,E9PMY3
A0A0G2JQ41,A0A0G2JQ41
Q13045,FLII
K7EJM5,K7EJM5
Q13153,PAK1
Q13200,PSMD2
Q13224,NMDE2
Q13243,SRSF5
Q13263,TIF1B
Q13303,KCAB2
G8JL96,G8JL96
Q13363,CTBP1
A0A2R8Y2A8,A0A2R8Y2A8
A0A0C4DGP3,A0A0C4DGP3
Q13409,DC1I2
Q13423,NNTM
Q13442,HAP28
F5H5G1,F5H5G1
Q13491,GPM6B
Q13492,PICAL
Q13509,TBB3
K7EN45,K7EN45
Q13554,KCC2B
F8W1I6,F8W1I6
Q13618,CUL3
Q13740,CD166
Q13825,AUHM
Q13838,DX39B
Q13885,TBB2A
Q14008,CKAP5
D6RD83,D6RD83
B1AMS2,B1AMS2
Q14152,EIF3A
E9PDQ5,E9PDQ5
F8W726,F8W726
B4DZ84,B4DZ84
Q14194,DPYL1
Q14195,DPYL3
Q6AWB1,Q6AWB1
Q14204,DYHC1
Q14240,IF4A2
Q14247,SRC8
J3QLD9,J3QLD9
Q14318,FKBP8
Q14344,GNA13
Q14416,GRM2
A0A3B3ITU8,A0A3B3ITU8
Q14644,RASA3
H0Y8C4,H0Y8C4
Q14832,GRM3
C9J9W2,C9J9W2
Q14974,IMB1
Q14982,OPCM
Q15019,SEPT2
Q15056,IF4H
Q15084,PDIA6
Q15102,PA1B3
Q15118,PDK1
Q15119,PDK2
Q15120,PDK3
Q15149,PLEC
Q5SQT6,Q5SQT6
Q15223,NECT1
H7C367,H7C367
F5H157,F5H157
F5GX39,F5GX39
Q15365,PCBP1
H3BRU6,H3BRU6
R4GMY8,R4GMY8
Q15417,CNN3
H7C003,H7C003
F5H365,F5H365
Q15555,MARE2
Q15691,MARE1
Q15773,MLF2
Q15818,NPTX1
G3V113,G3V113
Q15843,NEDD8
F8W9Z1,F8W9Z1
Q15907,RB11B
Q16143,SYUB
E7ES33,E7ES33
Q16352,AINX
Q16537,2A5E
Q16620,NTRK2
A0A0C4DFZ1,A0A0C4DFZ1
Q16643,DREB
C9JTE0,C9JTE0
Q16658,FSCN1
Q16720,AT2B3
Q16740,CLPP
H3BPK3,H3BPK3
F5GY40,F5GY40
E9PMB9,E9PMB9
Q2NKQ5,Q2NKQ5
Q16851,UGPA
Q16864,VATF
Q16881,TRXR1
C9J406,C9J406
Q2M2I8,AAK1
Q3ZCM7,TBB8
Q4G0F5,VP26B
A0A087WT45,A0A087WT45
A0A3B3ITX7,A0A3B3ITX7
Q58FF8,H90B2
Q5JU85,IQEC2
Q5T5C0,STXB5
Q5T5P2,SKT
Q5T848,GP158
Q5TF21,SOGA3
A0A087WVF8,A0A087WVF8
Q63HM9,PLCX3
Q68DU8,KCD16
F8WD64,F8WD64
Q6DN90,IQEC1
H0YFI1,H0YFI1
Q6KCM7,SCMC2
Q96GK7,FAH2A
Q6PCB7,S27A1
Q6PI78,TMM65
Q6PML9,ZNT9
Q6PUV4,CPLX2
E7EW28,E7EW28
H0Y327,H0Y327
H3BN26,H3BN26
Q6VY07,PACS1
Q6ZSJ9,SHSA6
F5H3S6,F5H3S6
Q7KZF4,SND1
E7ETY4,E7ETY4
Q7L099,RUFY3
Q7L0J3,SV2A
W4VSQ3,W4VSQ3
Q7Z3B1,NEGR1
Q86U28,ISCA2
Q86UE4,LYRIC
Q86UP2,KTN1
A0A0A0MT16,A0A0A0MT16
E5RGM0,E5RGM0
Q86UY8,NT5D3
Q86V81,THOC4
Q86VP6,CAND1
Q86Y82,STX12
Q86YM7,HOME1
Q8IV01,SYT12
Q8IWQ3,BRSK2
Q8IXI2,MIRO1
A0A087WYM3,A0A087WYM3
Q8IXS6,PALM2
Q8IZP0,ABI1
Q8IZS8,CA2D3
Q8N126,CADM3
Q8N1I0,DOCK4
Q8N335,GPD1L
Q8N3J6,CADM2
Q8N3V7,SYNPO
Q8N4C8,MINK1
Q8N573,OXR1
Q8N9I0,SYT2
Q8N9R8,SCAI
Q8NBU5,ATAD1
Q8NC51,PAIRB
F5GYH1,F5GYH1
C9J9E2,C9J9E2
Q8ND76,CCNY
Q8NE86,MCU
Q8NFX7,STXB6
Q8NFZ4,NLGN2
Q8NFZ8,CADM4
H3BMY4,H3BMY4
Q8TB36,GDAP1
Q8TBG9,SYNPR
Q8TD22,SFXN5
Q8TDC3,BRSK1
Q8TDJ6,DMXL2
Q8TEA8,DTD1
Q8WUM4,PDC6I
Q8WUW1,BRK1
Q8WXD9,CSKI1
Q8WXF1,PSPC1
Q8WXF7,ATLA1
F8W8U2,F8W8U2
